author,score,date,content,text_length,days_since_release,tfidf_mean,tfidf_max,tfidf_nnz
Maximilian L,9.0,2025-07-09,Absolutely loved it! Worth owning!!,35,1139,0.002179984258856539,0.5983263680586962,5
Eric S.,10.0,2025-07-09,A great movie wish they had more like them ! Wish they would build more woman Characters like Phoenix actually focus on a great character and story line instead of I’ve had it harder and respect me moor because I’m a woman !,224,1139,0.004708074236938906,0.41753727187682305,25
Michael S.,4.0,2025-07-09,"“Top Gun Maverick” is a very overrated film. Some of the plane scenes were cool, but the whole entire mission didn’t make sense due to several factors. The movie focuses on a daring, low-altitude attack against a heavily defended uranium enrichment plant, which experts and veterans point out would likely be handled with different tactics in reality. This movie is very overlooked,because of the nostalgia people feel from watching the first one. The high action plane scenes were another reason this film was overlooked.",522,1139,0.006455650601245582,0.3064739021068843,46
Lore O,2.0,2025-07-08,Absolutely horrific that this is so popular. The entire movie is just a rip-off of the Death Star trench run from Star Wars. Other than that it's just a rehash of the original. It's completely pathetic. Tom Cruise doesn't deserve a career. 1 Star solely for Miles Teller and Glen Powell. Feel bad for anyone that has to work with that hack.,340,1138,0.005998255938414146,0.3861450014899043,40
Sujan A,10.0,2025-07-08,"A movie you can watch over and over again. Nothing can beat the original but with today's modern cameras and film, Mr Cruise has given us a peak of what its like to fly in the cockpit. Bravo and well done! Making Movies Great Again.",232,1138,0.004881917874721108,0.24362931147250722,26
Alex B,10.0,2025-07-08,"This might be my favorite movie of all time. It hits on every beat you'd want in an infinitely rewatchable movie: action, suspense, humor and heart.",148,1138,0.004156079669755826,0.28952594187358527,18
Patryk S,10.0,2025-07-08,"Perfect movie, one of a few when second movie is better than first one.",71,1138,0.0025881284255200357,0.46938037837372776,7
Josh,10.0,2025-07-07,Instant classic. Absolute cinema!,33,1137,0.0019903051035548413,0.5652171645875396,4
Winderson N,10.0,2025-07-06,It was an amazing experience watching TOP GUN Maverick. This movie is a masterpiece of cinema!,94,1136,0.0032990855486875834,0.4250598625956384,12
Maxwell D,6.0,2025-07-06,"As somebody who hasn't watched the first Top Gun, this made no sense. Still, the execution is great.",100,1136,0.0021133574539392496,0.6340737885056686,5
Millie R,10.0,2025-07-06,"Tom Cruise is getting even better at his craft. This movie was extremely well written, well acted, beautiful and could serve as a stand alone if you were unable to see Top Gun the original. Some movies are almost too good for us mere humans and this is one of them. I would like to see one more if the Gods allow it.",316,1136,0.004632592929070061,0.2684439059703362,24
Christopher Z,1.0,2025-07-06,"I cannot honestly believe this movie was loved by so many. I'm not some contrarian, I absolutely love movies both serious cinema and B movies.
But Top Gun: Maverick was so incredibly stupid. It was literally the first movie redone the exact same way with an even more moronic plot than the original. You need to fly low in order to destroy some facility? That's utter nonsense. And then the behind enemy lines stealing of a jet? What is this an Owen Wilson movie? Seriously this movie was so bad I was laughing at how idiotic it was.",534,1136,0.0052382604029583765,0.2665424484497858,29
martin p,10.0,2025-07-06,Could be the best movie ever made.   Not kidding.,49,1136,0.0016467852865831556,0.7762296162803936,3
Ryan N,10.0,2025-07-05,"This blew me away!  I was worried it wasn't going to be as good as the 1st but it knocked it out of the park.  The story was perfect for the character Maverick!  His past struggles and how he gets thru them in this movie is perfect!  I thought having Gooses son was not going to work but it as well was perfect.  

The real life action of the fighter planes were amazing!!  I absolutely loved this movie.  

I am a huge Tom Cruise fan since the original Top Gun movie.  

Jennifer Connelly was perfect in this movie, and I loved how they brought a past character from the 1st movie (only mentioned by name).  

Miles Teller and Glen Powell were great as well and I am becoming big fans of theirs now.",708,1135,0.006715022272291788,0.33750578288748395,53
B F.,10.0,2025-07-05,Tom’s really got this action genre figured out I guess.,55,1135,0.0023454061161223543,0.5293864094998343,6
M J,10.0,2025-07-05,Definitely worth your while.,28,1135,0.0014140096513436964,0.7190121766169838,2
Sarah F,10.0,2025-07-04,Perfect sequel. Amazing,23,1134,0.0021500527354116087,0.6002822690516127,5
Patrick H.,10.0,2025-07-03,It’s an exceptional movie,25,1133,0.0012564473873308527,0.9527772188617621,2
Tina P.,10.0,2025-07-02,I really liked this one because it dealt with his repercussions from the first movie. I also like that I didn’t have to sob my eyes out.,136,1132,0.0027083775470522235,0.45320248001043056,8
Rodolfo U,9.0,2025-07-02,a love letter to the movies and a very good sequel,50,1132,0.002334043645221383,0.5616297096717097,6
Brian B.,10.0,2025-07-01,It defied my wildest expectations!!! So nice to have a movie made to entertain and not preach.  Loved it!,105,1131,0.0018701605815779562,0.6774335040254746,4
Scott N.,10.0,2025-07-01,Amazing sequel to one of my favorite movies!,44,1131,0.0023526075392013134,0.5481785970702241,6
Paige  H,8.0,2025-07-01,What a great sequel!,20,1131,0.00165072276083275,0.7951073890299515,3
AJ L,10.0,2025-07-01,"A proper banger of a film. It has everyone one could want. Loved the first watch, couple of years later it's still EPIC",119,1131,0.003237994407193648,0.3746122302580207,11
Pedro M,10.0,2025-06-29,What a breathtaking experience. Amazing!!!,42,1129,0.0016971730266492294,0.7101780187086579,3
Ed,10.0,2025-06-28,Awesome! Great experience!,26,1128,0.0016848532995090131,0.6667992507475032,3
TROYS S,10.0,2025-06-27,"'Top Gun: Maverick' is fantastic, simply put. I was expecting it to be good, but it's actually much more enjoyable than I had anticipated.",138,1127,0.0032041168940371034,0.4079555788163532,11
Matt M,10.0,2025-06-21,"TC still got it. Perfect combo of action with a splash of comedy, and romance. Recommend seeing on big screen if possible to really appreciate the sound effects. 10/10",167,1121,0.00426686108474392,0.3405672537927955,19
James N,4.0,2025-06-20,"The flight scenes are incredible, as expected. The movie, as a whole, is garbage. The casting, the story line, the sets..... just bad. It's like ""Bring It On"" meets ""Fast and Furious"". The original Top Gun was filmed on navy bases, in real bars, in real barracks, etc. This is a hodge podge of bad sets, CGI back grounds, and ridiculous hollywood movie tricks. Bummer.",368,1120,0.004706661765823978,0.43013143287524097,26
Jack G,10.0,2025-06-20,Absolute CINEMA and the definition of a perfect Blockbuster,59,1120,0.002418302770699724,0.5127919213751427,6
Sergio A,10.0,2025-06-19,"I went in without having seen the first film, and wow, what a surprise. It delivers action, romance, friendship, fatherhood, and personal growth. One of the best surprises a blockbuster has ever delivered.",205,1119,0.0038868063883326386,0.3139897580152869,16
Casper F,10.0,2025-06-10,"must watch, absolute cinema",27,1110,0.001974461339718892,0.6041816018315818,4
Craig H,10.0,2025-06-05,"Saw this in the cinema three times three years ago and wanted to see how it held up and f***ing hell its still an unbelievable film, probably my favourite movie of the last 5 years and in my top 10 of all time easily. Pretty much movie blockbuster perfection, cant fault it.",274,1105,0.004548186955019379,0.34253571652882914,22
Robert M,10.0,2025-06-04,"I thought there was no way this sequel could stand up to the original, and boy was I wrong. Not only does is stand up to one of my all-time favorites, but dare I say that it surpasses the first film! Well done!!!",212,1104,0.0031779390549042776,0.5964281763766496,12
Orpheus K,10.0,2025-06-04,Simply the Best action movie ever made,38,1104,0.002284340443239515,0.6128452590478535,6
Moustafa B,10.0,2025-05-29,"I love it, I watch it at least once every month",47,1098,0.001674829051038188,0.7643949821517332,3
S.K.M v,10.0,2025-05-28,"Awesome movie, while  watching this movie goosebumps comes entirely . I  appreciate to the director and say one line "" you are awesome Man""",139,1097,0.0028889109410087273,0.5432071032525215,9
Roshith B,10.0,2025-05-27,"No matter some people say that Christopher nolan movies are the best but it's not top gun maverick >> whole Christopher nolan filmography 

Tom Cruise he's the only star on the planet who let audience to big screens after his retirement it's better stop watching scrap lag Hollywood films",290,1096,0.00432654420586327,0.42774289574371555,25
Tommy & Naomi N,10.0,2025-05-27,"Favorite film of all time. Nostalgic, simple, and thoroughly enjoyable.",71,1096,0.0027510280294174043,0.42588353369824034,8
Ben,10.0,2025-05-27,Loved this movie!! Just as good as the first one!,49,1096,0.002511884269434714,0.5116580383330304,7
Steve W,10.0,2025-05-27,Amazing! Perfect in every way! Much better than the original in almost every way! Definitely must see!,102,1096,0.002855271388373338,0.5370702223704934,9
Ozbej M,10.0,2025-05-25,Just a great legacy sequel and also a phenomenal movie. It's easily one of the best movies of 2020s. 10/10,106,1094,0.003777496026869605,0.4091906834483802,16
Rushi G,10.0,2025-05-23,Another word for 'glorious' is Top Gun: Maverick. Period,56,1092,0.002132253802394668,0.6190689941101029,5
unknown,9.0,2025-05-22,"Maverick is the perfect legacy sequel any iconic film can have. It takes you through nostalgia trip of the original without taking it for granted. It has a better screenplay, more heartfelt emotions, higher stakes and bigger action scenes. Add to that the characters are brilliantly crafted and performed flawlessly.",316,1091,0.0047301468374952626,0.26883038439307444,24
Rovo S,10.0,2025-05-21,This movie is a masterpiece!,28,1090,0.0016024416214943042,0.7768547400587876,3
unknown,10.0,2025-05-20,"From the soundtrack to the film, this movie was a delight.",58,1089,0.0018451701059062652,0.725775077009768,4
Brayden G,10.0,2025-05-16,Way better than the first one I saw this in the theaters when it came out so intense in the Theaters it’s so good on the biggest screen possible,144,1085,0.00345318647165908,0.4780385218822292,13
Jose N,8.0,2025-05-16,"Top Gun: Maverick is a good movie. It's a great 2nd movie to Top Gun, but its not a good as Top Gun. It feels ""forced"", ""squeezed"" into a very specific layout.",159,1085,0.00332230799751621,0.45927213610225975,12
Ethan C,10.0,2025-05-16,"Over the last few years, I have watched this film way more times than I could count. This is easily becoming a top 7 film for me. The amount of action, situation and character development, and cinematography is unmatched. Maverick does a fantastic job at showing homage to the original but plussing it up to match the same action packed feeling as the Mission Impossible films. The added characters with BOB, Phoenix, Hangman, Rooster, Payback, Fanboy, and more add to the stakes of the mission. One of the few movies that actually had me on the edge of my seat in the theatres. Would love a re-release. Fingers crossed for a third.",632,1085,0.006490232366068632,0.2548216633563287,44
Stephen T,10.0,2025-05-15,"This was without a doubt the most entertaining film I've seen in years, and a refreshing break from the usual drivel that seems to pump out of Hollywood these days.  Every actor nailed their performance, and there was not a wasted moment in the show.  I am so glad this film was made.",284,1084,0.003956287740686734,0.29086318040654324,16
Luke H,10.0,2025-05-14,"A superb piece of cinema. Everything you want from a film which reboots a franchise.

The acting is bang on, the writing too. The soundtrack hits every note you’d want and the cinematography is unbelievably good. 

It’s rare that you can sit and watch a film one day, and then opt to watch it back 48 hours later, but this is the kind of quality film you’re happy to do that with.

A piece of cinema anyone and everyone should watch when they get the chance. Even if you have no knowledge of the first film, it’s a superb watch. I personally believe it to be better than its predecessor, which is some going.

A joyous watch. Unreal.",641,1083,0.00516722932611825,0.40710841732392977,32
unknown,10.0,2025-05-14,“It’s what my dad would’ve done”,32,1083,0.0013869609584284347,0.8316283165075292,2
Pete W,10.0,2025-05-13,This is an amazing sequel. Usually the sequel is nowhere near as good as the original but this one definitely lives up to it. We have watched it at least a dozen times.,168,1082,0.003488943325124906,0.3528497349231511,13
Stephen C,10.0,2025-05-12,"Tom, I find you funny in movie theaters, your movie is superb!!!!!!!!!!!!! That's a compliment!!!!!!!!!!!!!!!!!!!!! Success in 2 hours and 11 minutes!!!!!!!!!!!!! Rated PG-13 for Some Strong Language and Sequences of Intense Action!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! The USA grossed over $718,500,000.00!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",345,1081,0.0035180708898656966,0.34619665069426725,13
Thomas C,10.0,2025-05-12,"Watching this in theaters was a hell of an experience. It’s really good if you didn’t watch Top Gun, and amazing if you did. Perfect sequel with a great story and great acting, great cinematography.",198,1081,0.004831303120467691,0.3241543603999929,25
Jason Masters,10.0,2025-05-02,wow just wow. only flaw if any I wish meg Ryan would have cameo in it.,70,1071,0.0018570932181606276,0.7556526855550447,4
George T,8.0,2025-05-01,Does not disappoint! Enjoyed the first movie. Good sequel!,58,1070,0.0028435766421933853,0.4242856391627764,9
Brochaco J,10.0,2025-04-29,Great mvoew i was very pleased with ts,38,1068,0.001,1.0,1
Obi-wan K,9.0,2025-04-29,The jet scenes got better (that's the only thing that matters),62,1068,0.0025841868572390415,0.4813963836536817,7
Jared C,2.0,2025-04-26,Predictable hero's journey drivel. So many cliche's it was hard to keep track of. The admittedly entertaining and dramatic flight scenes are ruined by the fact that the climactic mission through a trench at high speed to hit an impossibly small target is practically a frame by frame rip off of Star Wars Episode iV. There may never have been a film less deserving of the praise it has received.,395,1065,0.005016247391124494,0.4003334932404681,27
natalie,10.0,2025-04-26,Great movie!!! Saw it twice in theaters,39,1065,0.002667204017201719,0.4695725336852794,8
Brayden M,10.0,2025-04-23,"While I didn't enjoy the original Top Gun, this movie kept my interest and is a great example on how to write a sequel.",119,1062,0.0032735092677342453,0.4063418668404868,12
Sergio S,10.0,2025-04-23,"Excellent script, felt as exciting as the 1986 classic, superb performance by Tom Cruise. A thoroughly enjoyable movie from start to finish.",140,1062,0.00423009741918942,0.2982574359387676,19
Patricia P,10.0,2025-04-20,Probably the best sequel ever made or a close second. Everything about this movie is amazing. If you were able to see it in theater you're blessed. Truly made for the big screen. Such a fantastic movie.,202,1059,0.004148668042931976,0.296799641391422,18
Cameron R,10.0,2025-04-17,"It's been almost 3 years and I can't count how many times I've watched this masterpiece. I loved the original, and expectations for sequels are always extremely low, but they absolutely nailed it. Probably my ALL-TIME favorite movie... definitely top 3.",253,1056,0.004870653890371979,0.2585669585761392,25
Twystd L,8.0,2025-04-17,"This was definitely a movie that pulled at the heart strings of anyone that watched the original Top Gun with all the references between Goose and Rooster, as well as, the likeness shared between the actors for Goose and Rooster. Casting was spot on and the a subtle and modern story for the older crowd to enjoy alongside the mainstory of the movie with all the action sequences.",380,1056,0.004773830868897014,0.40942787862197216,27
Russell H,8.0,2025-04-14,The action and characters were great.  Awesome,46,1053,0.0021280217784023993,0.6434517020877718,5
Dustan B,10.0,2025-04-11,Actually waited to watch this movie for about 5 months after it came out. Worried about how a sequel to one of the greatest movies ever made would be. I wish I hadn't waited so long to watch it. from the secon the introduction comes on the screen and Kenny loggins danger zone comes on. It instantly to me. Was known that this was going to be a sequel. That was worth the time,376,1050,0.004041786391207504,0.4556834595432123,19
John  R,10.0,2025-04-11,Lives up to the OG. It's actually way better.,45,1050,0.002388142623505271,0.5183864512750078,6
Matthew T,10.0,2025-04-10,Movies like this are what give USA the reputation at the maker of the best films in the world.,94,1049,0.002737974941751923,0.43900962702346413,8
Lindsey S,10.0,2025-04-08,"Love this!!!! love the jets, love the action, and just love Top Gun in general. especially Ice's return and emotional scene with Maverick.",138,1047,0.0024807973782060696,0.7800245291767125,9
Agustin C,10.0,2025-04-03,De las mejores secuelas,23,1042,0.001,1.0,1
John M,10.0,2025-04-03,"Same formula, same result.  Excellence.  Amazing last dance for my guy  Val Kilmer.",83,1042,0.002190664902089855,0.49118883055633333,5
Carlos O,10.0,2025-03-30,Took over my top spot on movie list ! Should never ever think about making another ! Beat out Armageddon ! Seen it numerous times and better everytime  !,153,1038,0.0031915489615074134,0.3971381254709564,11
Nick R,10.0,2025-03-24,"Possibly the very best example of a legacy sequel done right. The story is tight, the characters are great, and the action is an absolute blast.",144,1032,0.0038454453574802766,0.33652782070999987,16
morey d,10.0,2025-03-24,Absolutely one of the best movies I've ever seen. Riveting story and action packed. Stunts are insane and everything keeps you on the edge of your seat. Never saw the original but its plays flashbacks of the original story to keep even new viewers locked in. Absolute must watch,278,1032,0.005335139628142804,0.23661892648276348,30
MARK C,10.0,2025-03-23,Amazing! Jaw dropping aerial combat cinematography!,51,1031,0.002204855760150168,0.5228876506289595,5
Frans B,10.0,2025-03-22,"How times have changed... Makes me wonder how the original got rated at half this score, but anywhooooo ... This is a whole new level and probably will never be attempted again, or copied in any way, like Tom Cruise said. True that. Undoubtedly the best of the 2, naturally, but as is comparing apples to oranges. This one is in a whole new universe. Worth watching at least 5 times, or more ...",395,1030,0.004657390515181306,0.3476745972674883,24
Jaime A,10.0,2025-03-21,"Incredible movie, better than the original, and also a funny with action movie, incredible cast and good history.",113,1029,0.003507671447110484,0.4816225320882102,14
Alice L,10.0,2025-03-20,"Rarely does a sequel live up to such hype. Complete joy for older generation, great film for younger generation without the emotional bias of it being Top Gun.",159,1028,0.0034549803244316134,0.5316757426782598,14
David S,9.0,2025-03-18,Sentimental and very good movie.,32,1026,0.0018506802196098606,0.6782332705726771,4
Andrew L,10.0,2025-03-16,"It doesn't get much better, sit back and enjoy the awesomeness that makes TopGun an American classic.",101,1024,0.0031138811877902944,0.3804006751913807,10
Lucas T,10.0,2025-03-11,This is one of those sequels that's clearly better than the original.,69,1019,0.0019563950179323606,0.6115337208543394,4
Michael,7.0,2025-03-09,Incredible flight scenes,24,1017,0.0019894299533459187,0.5517175531778832,4
Gabriel S,10.0,2025-03-06,"Não teve experiencia melhor no cinema em 2022 que Top Gun Maverick. Poucas pessoas espereavam pela continuação do original, mas todos que assistiram se deleitaram com tamanha qualidade.

Especialmente as qualidades visuais e sonoras do filme. Todo aspecto audiovisual é simplesmente perfeito e quem assisitiu no cinema (em um bom cinema de preferencia) pode sentir na pele o que é dirigir um caça.

Fenomenal!!

----

There was no better cinematic experience in 2022 than Top Gun Maverick. Few people expected the sequel to the original, but everyone who saw it was delighted with its quality. Especially the visual and sound qualities of the film. Every audiovisual aspect is simply perfect and anyone who saw it in the cinema (preferably in a good cinema) was able to experience what it's like to fly a fighter jet. Phenomenal!!",838,1014,0.006180533442591112,0.3806721333779445,48
Cameron H,10.0,2025-03-02,"A perfect movie in my opinion because it has all the elements that make a movie great: great acting, cinematography, thrilling action and suspense, romance, humor, interesting characters, an engaging story, and emotional moments. A perfect summer blockbuster.",259,1010,0.005290087827670796,0.26402820211394057,29
andre b,10.0,2025-03-01,"Sehr unterhaltsamer Film, tolle Bilder, toller Cast und super Soundtrack. Noch ne ordentliche Nummer besser als Teil 1.",119,1009,0.0019508717229786213,0.6275605549094196,4
Joshpeh S,10.0,2025-02-25,"もちろんです！以下に『トップガン マーヴェリック』のプロフェッショナルな日本語レビューをお届けします。

---

『トップガン マーヴェリック』は、映画史に残る傑作として称賛されるべき作品です。トム・クルーズが再びピート・""マーヴェリック""・ミッチェル役を演じ、その圧倒的な存在感と演技力で観客を魅了します。

この映画は、息を呑むような空中戦シーンと、緻密に描かれた人間ドラマが見事に融合しています。特に、最新の撮影技術を駆使したリアルな空中戦は、観る者をまるでコックピットにいるかのような臨場感へと誘います。これにより、観客はスクリーンに釘付けとなり、手に汗握る体験を味わうことができます。

また、ストーリーは前作のファンにとっても新規の観客にとっても満足のいく内容となっています。マーヴェリックの成長と葛藤、そして新たな世代との絆が描かれ、感動的な瞬間が随所に散りばめられています。特に、若手パイロットたちとの関係性は、師弟愛や友情の深さを感じさせ、心温まるシーンが多くあります。

音楽もまた、この映画の魅力の一つです。ハンス・ジマーによる壮大なスコアは、物語の緊張感と感動を一層引き立て、観客の心に深く響きます。

総じて、『トップガン マーヴェリック』は、アクション映画の枠を超えた感動作であり、映画ファンならずとも必見の一作です。トム・クルーズの不屈の精神と、映画制作陣の情熱が結実したこの作品は、間違いなく映画史に名を刻むことでしょう。

---

このレビューが参考になれば幸いです。映画を楽しんでください！",681,1005,0.002160246899469287,0.6172133998483676,5
ISHAAN J,10.0,2025-02-23,There is a reason Tom Cruise is the biggest movie star in the world.,68,1003,0.0028214837653267972,0.46204144111288586,9
Geoff H,6.0,2025-02-18,"predictable, jingoistic, Tom Cruise is unbelievable at his age. But great visuals.",82,998,0.0028423954558985626,0.46239355076319655,9
Josean C,10.0,2025-02-18,The casting crew were amazing of course Tom Cruise crushed it one of the best films for me in 2022.,99,998,0.0030487262127826577,0.43561540669587145,10
STEPHEN P,5.0,2025-02-17,"Of course way over hyped and way over done. Relying on so much ""action"" and special effects just is a substitute for better writing and character development - this whole thing is Alpha male, never loses, no matter what even crazy odds against it. Surprise - very predictable.",276,997,0.004138088856994324,0.34551286625354016,18
Jennifer  E,8.0,2025-02-16,Enjoy the movie! The main actor Tom Cruise is still charming.,61,996,0.0024486916980950586,0.5596959939482018,7
John M,10.0,2025-02-14,Definition of Peak Cinema,25,994,0.0017080058781522769,0.6547961552126449,3
DooDoo P,6.0,2025-02-10,I'm Scientologist now.,22,990,0.0,0.0,0
Lucas A,10.0,2025-02-02,Sensacional! O filme te prende do início ao fim,47,982,0.001408246056281177,0.7690134067966583,2
robert n,10.0,2025-01-27,Absolutely superb entertainment.  Loved it.,43,976,0.0019674360867399402,0.610312169880498,4
Rex W,10.0,2025-01-25,Best old fashion movie of the century,37,974,0.001611311599434831,0.8190099858108318,3
Noah’s W,10.0,2025-01-23,I originally saw this movie before the 1986 version and this is truly and classic and in my opinion better than the first movie.,128,972,0.0029378089031017384,0.4352641318454808,9
Kevin P,9.0,2025-01-23,A pleasant surprise that outdoes the original with better action and performances despite the less campy tone.,110,972,0.0023129147438879765,0.5624049546949139,6
Kaitlin A,10.0,2025-01-23,"One of the best movies I have ever seen! The cast, script, everything, absolutely speechless!",93,972,0.002746205361879049,0.5037714486777903,8
Gerard B,10.0,2025-01-23,Really great movie and a great sequel,37,972,0.002540867353168002,0.46970543374062834,7
Keane G,10.0,2025-01-23,"Great movie, reviewed 3 years later",35,972,0.002321154868381174,0.541448014690969,6
unknown,10.0,2025-01-20,Brilliant acting by the one and only Tom Cruise. Love the use of advanced technology in the film. Simply fantastic!,115,969,0.003180187360877701,0.42160021586640906,11
sarah,10.0,2025-01-19,Great movie!! really liked it.,30,968,0.0025104592428716013,0.4952414302690391,7
Faith Steinlicht,10.0,2025-01-18,"Very powerful, heartwarming and well made. This was an EPIC movie",65,967,0.0018777075070427066,0.6046217606175923,4
Nathan Hawk,10.0,2025-01-17,Tom Cruise is the best!!! IMAX are the Best Movies & Best Movie Quality!!!,74,966,0.003351106851358974,0.49020080940872446,13
bob c,8.0,2025-01-17,"Outrageous, completely over the top, Hollywood ending, pretty people in video game made real plot, with true American heroes.
And very good for all that.
Helps if you’ve seen the original - and everyone has.",209,966,0.003794059782263849,0.34069476654964,15
Tbone P,10.0,2025-01-15,Great movie! They came up with a really good story for the sequel,65,964,0.0029872451269194957,0.49734525989652123,10
Tom,10.0,2025-01-13,Great Movie!  Would love to watch the first one and second one back to back in theatre's.,89,962,0.002508984269036652,0.5697210215675766,7
Annette D,8.0,2025-01-12,"Top Gun Maverick is one of those sequels that you might question why it exists, but after watching it, you'll be thankful you did. This sequel was anything but lethargic. Everything was intentional. They did a fabtastic job of alluding and connecting to its predecessor, bringing nostalgia to those who loved the original, while bringing new likeable characters and adding freshness to the story. A great balance.  It has sentimental moments and action to keep you on the edge of your seat. I say this coming from someone who saw the sequel before the original and my friend thankfully explained the connections throughout. XP Worth a watch. I enjoyed it enough to rewatch in the future. 9/10",692,961,0.006183069103498129,0.34482393876276124,42
Eiren W,3.0,2025-01-10,"A film that shows happens when you chuck money at a film, without talent or reason. Fine if you’re bored mid week, but does not earn the rating it has at all. So many more captivating and brilliant films out there that have scores less than this. 
Basically Tom Cruise staring off into the distance and tensing his jawline on loop",331,959,0.0038881815611621438,0.29889798887783114,16
prawnda s,5.0,2025-01-09,"i cannot deny that this is a technically impressive film. at the same time, i dont know how they managed to make fighter jet combat so boring.",142,958,0.003672393495500118,0.3144187275448856,14
unknown,10.0,2025-01-09,"Amazing film and a worthy successor to the original. You don't see a film like this these days and it's such a refreshing breath of fresh air. Pays respect to the past, has plenty of action, and plenty of heart. The story from the original comes full circle in a very emotionally satisfying way for Maverick, Penny, Rooster (Goose's son), and Iceman after Goose's death in the first film.",388,958,0.005259863663625925,0.35347386058701247,31
Desmond N,10.0,2025-01-08,10 out of 10 amazing women specially viola Davis,48,957,0.0016346228295276535,0.8046049815936813,3
W. Scott S,10.0,2025-01-07,"Top Gun: Maverick is tied with Edge of Tomorrow as my two all-time favorite Tom Cruise movies and probably in my top 10 or 20 all-time movies period.
Top Gun: Maverick is so much more enjoyable than the original Top Gun.  I can't put my finger on why, but I absolutely loved Maverick and only marginally enjoyed the original.  Maverick was more exciting, more heartfelt, more engaging, and just flat out more lovable.",418,956,0.005169444156547104,0.40450659663562777,30
Felipe b,10.0,2025-01-06,"Acho fantástico que esse filme não tem aqueles clichê de briga de bar, briga das principais rivalidade é um filme de não necessita disso pra mostra que o protagonista é alguém muito maneiro! O filme tem muitas cenas muito boas e sua história muito marcante e única sem passar a mão na cabeça do protagonista e dos demais,Top gun é será um filme marcante na minha vida e de muitos com seu elenco de peso e sua história que aproveita cada um do tanto que precisa ser usado 10/10.",477,955,0.00455583124932736,0.3580411911612688,25
unknown,8.0,2025-01-05,"I really enjoyed this movie, one of my bigger surprises of the year. A fun and likeable action movie that knows exactly what it is.",131,954,0.0035181032016567723,0.3417121813546674,13
ALL- C,10.0,2025-01-04,"Wow, wow, wow. I wish the story was a little more intricate - but this provides some of the best acting and action of the past decade. Brilliant.",145,953,0.0027982078595672048,0.6152684458932272,11
unknown,10.0,2025-01-04,"Movie of the Year 2022

Top Gun Maverick its one of the Top Sequels has made so far. After seeing how well T2 Judgement Day, Spider Man 2 and The Dark Knight did so well, Top Gun Maverick its what hold its cinema an entertainment summer movie. Top Gun Maverick has some amazing scale of fighters in aerial sequence I have never seen before and the performances its amazing totally Oscar nomiee. This film deserves a summer movie for sure and hopefully turn into a franchise",475,953,0.00524626130997838,0.3687000120616471,31
Jimmy R,5.0,2024-12-31,"It has a 99% score cause of all the fan boys and girls :D Its an okay action movie if you dont expect anything. Its so, SO! predictable. If you think it cant check all the clishees - trust me it will. F.e.: Very first scene: ""you go 10 Mach, not 10.2, not 10.1"" and of course he will go over the mark.
And very american patriotic. Doesn´t matter who dies as long as its no person from the US :D
It passes the time but not a 99% movie at all.",443,949,0.004791753798103055,0.3977391060728085,26
T J,10.0,2024-12-31,"Pure awesomeness, thank you Tom Cruise",38,949,0.0025017599711285653,0.48497067306871733,7
Nolan S,10.0,2024-12-31,"Probably best movie I have ever seen, absolute Cinema",53,949,0.0030489863585613478,0.4185224372050791,10
Iain D,1.0,2024-12-27,"Genuinely awful compared to the original. I don't know why people liked it so much. It was the disappointment of a lifetime. 
The original had a great storyline, it was believable, the characters were believable, the action scenes weren't overly falsified apart from the inverted scene with a MiG/F-5.
Nothing about this film is believable. CGI-tastic. Apparently the creme de la creme of the US Navy aviators are just out of nappies. Maverick flies a Mach 9-doesn't exist-looks ridiculous-nicked it without authorisation plane and ejects landing in a pub.... WTAF?!
The storyline is woeful and the acting is dreadful. 
As a huge fan of the original this is honestly one of the worst films I've ever seen. Sorry.",716,945,0.006108020037196613,0.4163888324750356,45
Jordan R,10.0,2024-12-26,"One of the best movies ever made if you ask me! I’m an 80’s baby so I eat this up but no matter how old you are this is one of the best movies out there! Hence the 99 score on rotten tomatoes , which is one of the highest scores I have ever seen.  Well deserved Mav, well deserved! ❤️",284,944,0.0035777073398277352,0.4939453680418666,14
Charvine A,8.0,2024-12-26,"A fun and solid movie for sure. I think the rating is a little high because people credit it as ""the movie that saved movies"", by getting people into theatres again after the Covid-19 pandemic. Not all that emotion can be attributed to the movie though. Definitely watch it, but keep your expectations in check.",311,944,0.004710437841888689,0.31616087056889325,23
Chloe  _,9.0,2024-12-23,I mean wow. Did not think it could be better than the original but the plot and development are just stunning. Really makes you feel something.,143,941,0.0037830406404311405,0.3638598547805117,15
unknown,6.0,2024-12-23,"This is why you buy 100"" TV.
Visually beatiful. So turn off your brain and enjoy the flight!",93,941,0.002626496846743473,0.4247322978891756,7
T Scott B,2.0,2024-12-23,"What a piece of crap. Nothing believable in this movie, complete horseshit.",75,941,0.002128961145706411,0.5058702424838531,5
Caleb S,10.0,2024-12-21,"A American made masterpiece. Filled with an amazing story and gripping stunts, top gun maverick will go down as one of the best movies in the last decade.",154,939,0.0038342448590633843,0.3364043680034863,16
Stella B,7.0,2024-12-19,This was every fan boy's dream!!!,33,937,0.0017226690604047997,0.6435048296982983,3
Abubakar B. S,10.0,2024-12-16,This is the best movie of 2022. The action is out of this world. Tom Cruise did a good job. Kudos. I have watched it more than 5 times.,135,934,0.003911582616769199,0.36791409445527495,17
